file_path,line_number,type,code_snippet,priority
apps\meteor\client\meteor\login\saml.ts,55,console.info,"console.info('SAML session not terminated, only the Rocket.Chat session is going to be killed');",REVIEW
apps\meteor\client\meteor\login\saml.ts,62,console.info,console.info('SAML session terminated via SLO');,REVIEW
apps\meteor\client\meteor\minimongo\SynchronousQueue.ts,33,console.log,"console.log('Exception in queued task', e);",REVIEW
apps\meteor\client\meteor\overrides\ddpOverREST.ts,95,console.error,console.error(error);,KEEP
apps\meteor\client\meteor\overrides\oauthRedirectUri.ts,19,console.warn,console.warn(,REVIEW
apps\meteor\client\startup\callbacks.ts,13,console.log,"console.log(String(end - start), hook, id, stack?.split('\n')?.[2]?.match(/\(.+\)/)?.[0]);",REVIEW
apps\meteor\client\startup\callbacks.ts,21,console.log,"console.log(`${hook}:`, end - start);",REVIEW
apps\meteor\client\views\admin\import\useErrorHandler.ts,8,console.error,console.error(error);,KEEP
apps\meteor\client\views\audit\hooks\useSendTelemetryMutation.ts,10,console.warn,console.warn(error);,REVIEW
apps\meteor\client\views\marketplace\lib\getManifestFromZippedApp.ts,40,console.error,console.error(e);,KEEP
apps\meteor\client\views\room\composer\messageBox\hooks\useMediaPermissions.ts,35,console.warn,console.warn(error);,REVIEW
apps\meteor\client\views\room\composer\messageBox\hooks\useMediaPermissions.ts,48,console.warn,console.warn(error);,REVIEW
apps\meteor\client\views\room\MessageList\hooks\useLoadSurroundingMessages.ts,41,console.warn,console.warn(error);,REVIEW
apps\meteor\client\views\root\hooks\useAnalytics.ts,126,console.log,"console.log('Error while parsing JSON value of ""piwikAdditionalTracker"": ', e);",REVIEW
apps\meteor\client\views\root\hooks\useIframeCommands.ts,20,console.error,return console.error('`path` not defined');,KEEP
apps\meteor\client\views\root\hooks\useIframeCommands.ts,76,console.log,"console.log('Iframe command [login-with-token]: result', data);",REVIEW
apps\meteor\client\views\root\hooks\useIframeCommands.ts,111,console.error,"console.error('Origin not allowed', event.origin);",KEEP
apps\meteor\client\views\root\hooks\useIframeCommands.ts,116,console.error,"console.error('Command not allowed', event.data.externalCommand);",KEEP
